"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-23,-36,-74,-60,-23,-88,-72,-16,-53,-84,-34,-22,-50,-93,-47,-8,-89,-30
-11,-31,-77,-72,41,-90,-101,-54,-65,-33,-61,-32,-24,-101,-81,2,-103,-28
-39,1,-133,-56,34,-80,-134,-33,-90,-46,-67,-23,-49,-102,-53,-9,-106,-46
-46,-32,-126,-28,-27,-69,-124,-45,-73,-119,-35,-5,-81,-100,-36,-48,-93,-51
9,-71,-98,-36,-25,-66,-128,-59,-46,-143,-7,0,-66,-107,-68,-38,-108,-27
30,-41,-140,-65,30,-90,-147,-33,-64,-118,-24,-9,-53,-106,-64,-16,-126,-21
-3,-30,-152,-69,29,-93,-138,-43,-72,-115,-60,-7,-70,-98,-51,-25,-113,-30
-8,-51,-121,-58,-29,-62,-122,-87,-48,-122,-72,2,-86,-107,-92,-14,-111,-18
5,-43,-131,-58,-33,-63,-117,-78,-65,-103,-59,0,-78,-125,-102,13,-126,-6
-4,-43,-123,-55,17,-86,-121,-41,-99,-89,-29,-7,-50,-129,-53,1,-137,-9
-20,-42,-96,-57,4,-64,-129,-41,-87,-95,-18,-15,-44,-120,-42,-23,-152,-6
-39,-9,-130,-70,-59,-32,-125,-54,-72,-103,-51,-22,-82,-104,-69,-15,-147,-6
-46,-11,-147,-67,-51,-56,-96,-54,-98,-96,-63,-15,-105,-92,-72,11,-94,-33
-21,-40,-120,-51,5,-104,-72,-57,-110,-91,-22,-10,-84,-96,-56,9,-59,-52
-4,-40,-126,-59,6,-109,-83,-74,-92,-101,-14,-22,-69,-101,-60,-29,-80,-45
-26,-68,-112,-71,-24,-89,-104,-92,-103,-107,-44,-24,-90,-91,-84,-44,-111,-45
-42,-100,-85,-52,-27,-81,-105,-85,-150,-87,-41,0,-106,-92,-92,-9,-122,-48
-16,-51,-151,-22,-17,-70,-118,-52,-148,-81,-23,11,-85,-113,-72,11,-108,-33
-4,-4,-195,-32,-8,-55,-152,-33,-87,-110,-28,-11,-60,-114,-63,-13,-84,-36
-50,-19,-118,-71,-9,-50,-164,-44,-72,-116,-40,-31,-66,-99,-72,-30,-96,-62
-74,-22,-84,-90,-33,-47,-139,-69,-111,-80,-59,-19,-78,-114,-69,-27,-122,-67
-25,-19,-133,-72,-41,-63,-104,-90,-101,-87,-58,-4,-68,-126,-66,-40,-118,-51
6,-50,-133,-51,-1,-104,-85,-95,-60,-139,-13,-14,-53,-103,-81,-47,-106,-49
-19,-73,-116,-46,36,-110,-101,-93,-89,-136,-8,-22,-51,-100,-84,-30,-96,-67
-35,-68,-143,-49,23,-80,-143,-85,-131,-83,-65,-16,-64,-134,-58,-28,-78,-95
-36,-47,-156,-59,-12,-65,-175,-60,-110,-82,-82,-24,-78,-149,-42,-43,-105,-100
-49,-28,-145,-80,-16,-71,-175,-45,-92,-119,-57,-34,-66,-137,-73,-32,-152,-73
-48,-43,-148,-101,1,-89,-160,-67,-125,-133,-55,-27,-56,-130,-116,-14,-136,-48
-38,-65,-150,-111,-3,-99,-157,-78,-149,-123,-59,-34,-83,-141,-103,-10,-112,-47
-38,-49,-146,-119,-8,-100,-164,-56,-130,-103,-66,-54,-105,-151,-70,-1,-142,-44
-22,-23,-145,-128,15,-122,-158,-50,-100,-82,-93,-43,-100,-128,-75,-12,-152,-32
-16,-6,-152,-116,0,-119,-145,-74,-112,-79,-76,-24,-99,-100,-84,-55,-129,-23
-54,0,-154,-94,-43,-62,-142,-92,-161,-88,-24,-28,-93,-112,-78,-57,-125,-26
-53,-39,-131,-85,-19,-46,-142,-86,-157,-98,-39,-14,-73,-125,-79,-15,-114,-41
14,-85,-100,-86,20,-68,-142,-63,-83,-100,-80,7,-59,-119,-60,-15,-97,-50
11,-49,-102,-91,-10,-54,-142,-56,-64,-110,-45,-10,-66,-120,-38,-39,-121,-38
-71,3,-120,-94,-25,-63,-129,-64,-118,-129,-9,-24,-91,-100,-74,-15,-137,-22
-81,-14,-116,-78,16,-100,-111,-59,-129,-118,-42,0,-98,-70,-107,20,-110,-22
-12,-35,-105,-65,23,-73,-91,-61,-80,-91,-57,10,-57,-93,-63,9,-99,-42
11,-7,-120,-69,-20,-36,-66,-78,-47,-102,-35,0,-34,-131,-19,-17,-99,-62
-11,3,-127,-58,-54,-41,-71,-74,-41,-100,-52,0,-61,-125,-37,-18,-87,-58
-46,-27,-87,-28,-42,-15,-139,-79,-48,-72,-70,1,-67,-111,-75,-22,-102,-42
-87,-53,-60,-2,26,3,-205,-108,-69,-83,-54,4,-33,-107,-102,-41,-116,-46
-75,-48,-92,11,70,-28,-189,-86,-77,-92,-57,22,-1,-97,-109,-26,-94,-42
6,-6,-103,-20,29,-17,-110,-36,-32,-46,-65,19,17,-95,-66,10,-88,-15
78,52,-66,-85,2,28,-41,-43,46,-17,-34,-14,20,-74,0,0,-85,-17
108,71,-44,-96,44,43,-33,-49,98,-16,-13,-29,31,-21,17,-22,-37,-43
103,58,-29,-48,66,82,-70,-10,113,-10,-22,3,74,5,-10,-2,-13,-35
57,71,-6,-16,73,106,-76,-13,111,-8,-41,43,103,6,-20,1,-32,-19
10,89,-19,7,120,66,-52,-44,104,0,-57,42,101,23,-14,-20,-26,-33
9,80,-30,37,132,78,-55,-23,102,11,-36,18,130,38,-25,-10,-20,-44
29,69,1,36,94,123,-48,-4,120,-8,4,21,172,34,-32,-8,-42,-24
37,59,28,33,97,76,-10,-16,150,-25,-11,44,162,40,-22,-34,-29,-10
28,52,31,54,113,43,-34,6,184,-13,-48,44,134,40,-23,-22,3,-37
18,76,44,56,99,85,-89,44,186,14,-23,19,149,19,-35,7,7,-69
12,97,73,38,92,85,-66,43,151,47,16,5,182,0,-27,0,15,-50
-1,70,115,31,84,62,-15,46,135,58,9,11,196,-6,-3,-9,29,-20
-19,40,139,24,65,85,-15,61,145,35,-6,11,192,2,-9,11,7,-27
-10,61,103,25,75,85,-28,43,159,15,5,0,179,25,-47,18,-18,-28
22,86,66,43,97,53,-16,17,201,-15,32,0,180,28,-54,-2,-17,-16
29,50,89,64,96,40,7,21,215,-38,38,18,199,3,-15,-20,-7,-41
-2,0,105,93,84,61,22,13,152,9,16,17,200,6,-6,-19,3,-65
-12,10,91,108,93,104,5,-13,135,70,-4,-4,202,35,-30,-16,0,-53
20,30,100,89,139,127,-28,-11,204,41,1,-5,244,43,-25,-34,-8,-48
29,8,105,94,168,121,-35,2,217,-5,11,15,267,45,-11,-44,-2,-52
-5,10,70,129,146,118,-8,-11,172,31,-7,8,245,44,-23,-21,-11,-36
-5,35,63,119,148,105,19,-21,170,91,-33,-15,261,21,-29,-2,-11,-42
34,7,107,93,171,98,23,-23,207,64,-23,-5,295,20,-20,-25,40,-77
36,-28,129,115,140,129,24,-37,235,3,2,11,280,54,-18,-57,70,-77
8,-3,100,135,110,150,40,-18,233,14,4,-11,281,78,-23,-54,51,-58
21,45,61,125,133,136,50,43,221,63,2,-33,318,102,-33,-24,65,-62
56,67,50,128,132,136,64,66,246,74,0,-17,307,133,-34,-7,73,-41
64,51,96,127,101,149,101,40,282,67,-10,0,274,138,-8,-11,42,-9
50,28,157,91,97,137,123,42,274,56,-7,3,267,132,15,-14,65,-33
42,28,151,71,103,103,131,65,249,51,-11,3,256,123,15,8,105,-59
54,18,107,98,98,104,141,43,236,69,-37,10,254,95,7,31,89,-41
48,16,96,124,86,148,103,24,212,81,-42,33,250,91,5,15,96,-44
-10,48,90,117,53,141,45,67,164,56,-15,39,191,108,5,1,107,-53
-33,19,59,96,19,81,42,103,98,38,9,-6,142,64,6,33,46,-31
22,-59,29,73,23,59,45,66,62,23,13,-33,136,10,-1,49,12,-43
40,-38,-7,51,41,51,27,10,74,-9,-19,0,101,34,-21,16,38,-86
-14,17,-46,41,36,17,35,-13,62,-29,-41,6,74,49,-43,-3,8,-88
-38,-16,-43,39,19,17,32,-10,17,-31,-14,-30,106,-2,-39,-5,-40,-66
-4,-51,-29,40,0,46,-2,-6,31,-43,-11,-21,107,-33,-15,-20,-25,-61
34,-53,-42,50,-21,60,-11,-26,73,-44,-54,14,67,-25,-16,-24,-5,-74
9,-77,-44,63,-24,84,-19,-50,49,-40,-65,7,69,-21,-25,-33,-32,-80
-55,-74,-34,66,-5,98,-60,-27,27,-62,-51,-11,86,-19,0,-62,-74,-50
-46,-54,-46,63,-2,73,-67,10,66,-83,-49,-16,86,-23,8,-58,-79,-30
11,-92,-59,71,-15,44,-28,-1,74,-78,-37,-27,95,-34,-31,-30,-31,-62
0,-118,-65,84,0,18,-10,-42,41,-81,-28,-32,83,-19,-64,-34,-7,-76
-15,-93,-75,70,21,0,-33,-44,44,-85,-41,-31,49,7,-74,-38,-34,-67
-3,-79,-72,37,7,19,-53,-12,51,-83,-46,-38,49,-1,-60,-26,-27,-97
-40,-64,-63,38,1,31,-35,-12,40,-90,-53,-26,77,-22,-33,-36,5,-121
-60,-43,-73,58,11,13,-13,-45,44,-69,-82,-11,83,-26,-43,-47,-3,-100
-26,-60,-71,25,-39,20,-30,-59,35,-28,-109,-30,58,-53,-63,-51,-21,-100
-36,-77,-59,-21,-103,39,-76,-38,18,-72,-98,-43,22,-81,-51,-66,-27,-127
-46,-54,-81,-16,-74,18,-116,-5,39,-141,-64,-33,0,-71,-54,-53,-49,-136
-11,-45,-102,-31,-33,-14,-128,7,40,-126,-55,-50,8,-86,-64,-25,-69,-125
-29,-58,-90,-89,-76,-27,-112,-2,-1,-119,-78,-68,15,-144,-53,-36,-87,-131
-75,-49,-111,-93,-127,-28,-131,14,0,-184,-85,-59,-3,-146,-77,-44,-111,-163
-51,-42,-161,-77,-130,-29,-174,55,26,-197,-78,-82,-15,-133,-104,-25,-114,-173
-18,-69,-166,-119,-140,-52,-158,56,-1,-142,-102,-128,-8,-188,-69,-28,-120,-144
-39,-89,-154,-146,-161,-85,-120,38,-43,-116,-132,-136,-21,-216,-56,-34,-143,-149
-77,-85,-157,-111,-155,-95,-130,44,-44,-131,-125,-131,-45,-171,-102,-17,-142,-195
-103,-104,-131,-74,-120,-97,-141,26,-29,-138,-112,-133,-23,-165,-115,-28,-112,-212
-114,-149,-90,-41,-87,-85,-154,-17,-11,-143,-114,-126,11,-189,-103,-64,-93,-215
-107,-171,-87,-10,-96,-47,-186,-26,16,-151,-104,-137,-3,-167,-124,-61,-102,-213
-102,-149,-95,-23,-121,-48,-157,-3,28,-141,-90,-167,-12,-145,-136,-36,-125,-159
-102,-108,-73,-54,-107,-91,-84,24,29,-114,-95,-159,36,-156,-110,-28,-103,-129
-89,-72,-53,-60,-93,-92,-70,48,68,-123,-91,-128,67,-156,-89,-29,-32,-192
-84,-57,-53,-57,-130,-57,-85,45,100,-143,-79,-130,36,-145,-80,-38,-12,-236
-118,-66,-43,-52,-165,-41,-76,23,55,-109,-84,-143,10,-147,-60,-62,-64,-199
-131,-77,-23,-32,-151,-30,-61,25,33,-77,-96,-126,26,-142,-45,-55,-87,-168
-81,-62,-29,-1,-116,-31,-41,50,106,-88,-105,-86,42,-118,-53,-9,-76,-151
-58,-42,-49,25,-116,-47,-13,70,130,-84,-113,-56,31,-91,-62,15,-99,-108
-106,-60,-46,24,-164,-27,0,68,54,-91,-88,-63,9,-73,-65,6,-129,-88
-120,-88,-36,-5,-191,15,7,47,19,-135,-46,-88,16,-66,-62,-8,-88,-117
-82,-79,-40,-13,-156,28,21,29,58,-143,-42,-89,52,-63,-28,-36,-32,-136
-82,-56,-45,13,-130,10,38,34,79,-111,-66,-73,60,-56,11,-62,-56,-123
-101,-57,-36,10,-153,-4,55,55,73,-98,-84,-73,44,-48,-5,-38,-100,-119
-87,-60,-6,-28,-178,2,79,64,74,-85,-84,-86,55,-43,-43,0,-68,-134
-77,-39,25,-37,-173,17,116,47,86,-70,-53,-91,80,-31,-36,-4,-33,-141
-76,-20,37,-7,-146,22,130,36,104,-60,-22,-87,89,-15,-1,-28,-48,-132
-59,-34,45,17,-139,42,111,54,133,-52,-31,-79,96,-17,20,-30,-39,-110
-54,-34,53,18,-157,64,124,63,156,-56,-45,-71,124,-39,33,-22,-7,-89
-70,13,55,13,-114,39,144,65,151,-30,-43,-66,170,-52,35,-19,-9,-92
-67,33,81,23,-16,-2,102,107,139,37,-55,-51,197,-24,24,-6,-1,-99
-39,-3,119,40,7,-8,72,146,166,50,-67,-32,175,27,10,3,33,-74
8,0,112,40,-32,5,113,112,224,12,-42,-33,155,38,13,-8,52,-65
47,36,96,29,-21,23,136,67,268,-8,4,-54,185,17,30,-27,84,-96
61,-6,123,26,8,57,123,82,266,-17,36,-80,222,40,30,-19,142,-97
